Tanggal,NO2,NO2_Clean,NO2_Moving_Avg
2025-07-11 00:00:00+00:00,5.068842074251734e-05,5.068842074251734e-05,6.480838243033728e-05
2025-07-13 00:00:00+00:00,9.054344445758034e-06,9.054344445758034e-06,6.199063505801829e-05
2025-07-14 00:00:00+00:00,0.0001268186824745,0.0001268186824745,7.591623591991302e-05
2025-07-15 00:00:00+00:00,6.726755115475196e-05,6.726755115475196e-05,8.201636638830931e-05
2025-07-16 00:00:00+00:00,6.792524436605163e-05,6.792524436605163e-05,8.835582922895413e-05
2025-07-17 00:00:00+00:00,4.336514302849537e-05,4.336514302849537e-05,7.674940826246776e-05
2025-07-18 00:00:00+00:00,9.789768591872416e-05,9.789768591872416e-05,6.614529601868549e-05
2025-07-19 00:00:00+00:00,0.0001025395431497,0.0001025395431497,7.355259921971159e-05
2025-07-20 00:00:00+00:00,4.4857630200567655e-05,4.4857630200567655e-05,7.866735432754153e-05
2025-07-21 00:00:00+00:00,4.424192775331903e-05,4.424192775331903e-05,6.687067508165854e-05
2025-07-22 00:00:00+00:00,3.132229835500766e-05,3.132229835500766e-05,6.173563896740937e-05
2025-07-23 00:00:00+00:00,3.389762468941626e-05,3.389762468941626e-05,5.687455044217574e-05
2025-07-24 00:00:00+00:00,3.764140092243906e-05,3.764140092243906e-05,5.605687299845341e-05
2025-07-25 00:00:00+00:00,2.997251772285381e-05,2.997251772285381e-05,4.63532775419005e-05
2025-07-26 00:00:00+00:00,3.202018433512421e-05,3.202018433512421e-05,3.627908342553253e-05
2025-07-27 00:00:00+00:00,3.906522351826425e-05,3.906522351826425e-05,3.545159675663204e-05
2025-07-28 00:00:00+00:00,3.5643116461869795e-05,3.5643116461869795e-05,3.4223195143567864e-05
2025-07-29 00:00:00+00:00,2.3481981770601124e-05,2.3481981770601124e-05,3.310314991722407e-05
2025-07-30 00:00:00+00:00,3.00568099191878e-05,3.00568099191878e-05,3.255446209290572e-05
2025-07-31 00:00:00+00:00,3.1359320928459056e-05,3.1359320928459056e-05,3.165702209376572e-05
2025-08-01 00:00:00+00:00,3.02131961689156e-05,3.02131961689156e-05,3.1691404728917405e-05
2025-08-02 00:00:00+00:00,2.6445638468430843e-05,2.6445638468430843e-05,3.0895041033675496e-05
2025-08-03 00:00:00+00:00,2.7941108783124943e-05,2.7941108783124943e-05,2.9305881785798453e-05
2025-08-04 00:00:00+00:00,3.771808042074554e-05,3.771808042074554e-05,2.9602305208494988e-05
2025-08-06 00:00:00+00:00,3.6950696994608734e-05,3.6950696994608734e-05,3.1526407383353217e-05
2025-08-07 00:00:00+00:00,4.62652978967526e-05,4.62652978967526e-05,3.384190566586247e-05
2025-08-08 00:00:00+00:00,2.931082493281185e-05,2.931082493281185e-05,3.3549263380770014e-05
2025-08-09 00:00:00+00:00,3.213870968465926e-05,3.213870968465926e-05,3.3824336740161966e-05
2025-08-10 00:00:00+00:00,4.2426072468515486e-05,4.2426072468515486e-05,3.61072558830312e-05
2025-08-11 00:00:00+00:00,3.079953148699133e-05,3.079953148699133e-05,3.651560198358354e-05
2025-08-12 00:00:00+00:00,3.703132506416296e-05,3.703132506416296e-05,3.6417494075500314e-05
2025-08-13 00:00:00+00:00,2.5791955067688832e-05,2.5791955067688832e-05,3.482338808594033e-05
2025-08-14 00:00:00+00:00,4.252296821505297e-05,4.252296821505297e-05,3.4288769559983244e-05
2025-08-15 00:00:00+00:00,3.948916400986491e-05,3.948916400986491e-05,3.574281799956225e-05
2025-08-16 00:00:00+00:00,3.402134689167724e-05,3.402134689167724e-05,3.601176617199339e-05
2025-08-17 00:00:00+00:00,2.017062342929421e-05,2.017062342929421e-05,3.28324163092475e-05
2025-08-20 00:00:00+00:00,3.2276489946525544e-05,3.2276489946525544e-05,3.3043410374895234e-05
2025-08-22 00:00:00+00:00,7.173050835262984e-05,7.173050835262984e-05,3.8000436558961936e-05
2025-08-23 00:00:00+00:00,3.2339557947125286e-05,3.2339557947125286e-05,3.893580839888143e-05
2025-08-24 00:00:00+00:00,4.560776324069593e-05,4.560776324069593e-05,3.937649340254471e-05
2025-08-25 00:00:00+00:00,4.44464635620534e-05,4.44464635620534e-05,4.008467905285735e-05
2025-08-26 00:00:00+00:00,5.117137152410578e-05,5.117137152410578e-05,4.2534682571775715e-05
2025-08-28 00:00:00+00:00,3.395380008441862e-05,3.395380008441862e-05,4.450370780822206e-05
2025-08-29 00:00:00+00:00,2.7402539672038984e-05,2.7402539672038984e-05,4.380742919758112e-05
2025-08-30 00:00:00+00:00,2.7971600502496585e-05,2.7971600502496585e-05,3.755615664756208e-05
2025-08-31 00:00:00+00:00,2.3246634555107448e-05,2.3246634555107448e-05,3.6257167591559535e-05
2025-09-01 00:00:00+00:00,3.0095007559793885e-05,3.0095007559793885e-05,3.4041059637144955e-05
2025-09-02 00:00:00+00:00,2.231347070846823e-05,2.231347070846823e-05,3.087920351520422e-05
2025-09-03 00:00:00+00:00,2.490022450274409e-05,2.490022450274409e-05,2.7126182512152548e-05
2025-09-04 00:00:00+00:00,3.829770594165893e-05,3.829770594165893e-05,2.774674049175831e-05
2025-09-05 00:00:00+00:00,4.239106419845484e-05,4.239106419845484e-05,2.988795828124629e-05
2025-09-06 00:00:00+00:00,3.35222121066181e-05,3.35222121066181e-05,3.068090279612079e-05
2025-09-07 00:00:00+00:00,4.284176975488663e-05,4.284176975488663e-05,3.348020782466067e-05
2025-09-09 00:00:00+00:00,3.5858433875546325e-05,3.5858433875546325e-05,3.430355444119674e-05
2025-09-10 00:00:00+00:00,5.7704150094650686e-05,5.7704150094650686e-05,3.9359365782079946e-05
2025-09-11 00:00:00+00:00,2.977151052618865e-05,2.977151052618865e-05,4.0055263785429164e-05
2025-09-12 00:00:00+00:00,3.960981894124416e-05,3.960981894124416e-05,4.0242708499655624e-05
2025-09-13 00:00:00+00:00,2.64140171566396e-05,2.64140171566396e-05,3.796027320796773e-05
2025-09-14 00:00:00+00:00,3.043640799660352e-05,3.043640799660352e-05,3.7519444049394224e-05
2025-09-15 00:00:00+00:00,2.814245272020344e-05,2.814245272020344e-05,3.5419541615868055e-05
2025-09-16 00:00:00+00:00,5.173466979613295e-05,5.173466979613295e-05,3.7687575318809e-05
2025-09-19 00:00:00+00:00,1.768400579749141e-05,1.768400579749141e-05,3.197041184778625e-05
2025-09-21 00:00:00+00:00,3.380229463800788e-05,3.380229463800788e-05,3.2546238149474706e-05
2025-09-22 00:00:00+00:00,4.075514880241826e-05,4.075514880241826e-05,3.2709856701071006e-05
2025-09-23 00:00:00+00:00,0.000254660468272,0.000254660468272,6.531649257469392e-05
2025-09-24 00:00:00+00:00,0.0002585107722552,0.0002585107722552,9.789854461163627e-05
2025-09-25 00:00:00+00:00,3.1738948564452585e-05,3.1738948564452585e-05,9.841232973224329e-05
2025-09-26 00:00:00+00:00,2.7641009182843845e-05,2.7641009182843845e-05,9.497037821605913e-05
2025-09-27 00:00:00+00:00,3.055052911804523e-05,3.055052911804523e-05,9.680845297613825e-05
2025-09-28 00:00:00+00:00,2.536396095820237e-05,2.536396095820237e-05,9.560297673616602e-05
